Parameters => idle_timeout: [5, 400]; step: 5
distribution;timeoutIdle;timeOverhead;energyOverhead
exp;5;0.086870;0.086870
exp;10;0.078430;0.078430
exp;15;0.070970;0.070970
exp;20;0.064610;0.064610
exp;25;0.058810;0.058810
exp;30;0.053510;0.053510
exp;35;0.048790;0.048790
exp;40;0.044050;0.044050
exp;45;0.039740;0.039740
exp;50;0.035720;0.035720
exp;55;0.032460;0.032460
exp;60;0.029520;0.029520
exp;65;0.026480;0.026480
exp;70;0.023920;0.023920
exp;75;0.021560;0.021560
exp;80;0.019400;0.019400
exp;85;0.017740;0.017740
exp;90;0.016120;0.016120
exp;95;0.014560;0.014560
exp;100;0.013100;0.013100
exp;105;0.011920;0.011920
exp;110;0.010700;0.010700
exp;115;0.009900;0.009900
exp;120;0.009300;0.009300
exp;125;0.008580;0.008580
exp;130;0.007660;0.007660
exp;135;0.007000;0.007000
exp;140;0.006420;0.006420
exp;145;0.005840;0.005840
exp;150;0.005160;0.005160
exp;155;0.004640;0.004640
exp;160;0.004340;0.004340
exp;165;0.004040;0.004040
exp;170;0.003780;0.003780
exp;175;0.003380;0.003380
exp;180;0.002940;0.002940
exp;185;0.002620;0.002620
exp;190;0.002340;0.002340
exp;195;0.002280;0.002280
exp;200;0.002200;0.002200
exp;205;0.002060;0.002060
exp;210;0.001900;0.001900
exp;215;0.001700;0.001700
exp;220;0.001480;0.001480
exp;225;0.001360;0.001360
exp;230;0.001260;0.001260
exp;235;0.001200;0.001200
exp;240;0.001120;0.001120
exp;245;0.001040;0.001040
exp;250;0.000960;0.000960
exp;255;0.000820;0.000820
exp;260;0.000760;0.000760
exp;265;0.000700;0.000700
exp;270;0.000660;0.000660
exp;275;0.000600;0.000600
exp;280;0.000460;0.000460
exp;285;0.000440;0.000440
exp;290;0.000420;0.000420
exp;295;0.000340;0.000340
exp;300;0.000320;0.000320
exp;305;0.000320;0.000320
exp;310;0.000240;0.000240
exp;315;0.000180;0.000180
exp;320;0.000120;0.000120
exp;325;0.000100;0.000100
exp;330;0.000080;0.000080
exp;335;0.000080;0.000080
exp;340;0.000080;0.000080
exp;345;0.000080;0.000080
exp;350;0.000080;0.000080
exp;355;0.000060;0.000060
exp;360;0.000060;0.000060
exp;365;0.000040;0.000040
exp;370;0.000040;0.000040
exp;375;0.000040;0.000040
exp;380;0.000020;0.000020
exp;385;0.000020;0.000020
exp;390;0.000020;0.000020
exp;395;0.000020;0.000020
exp;400;0.000020;0.000020
