Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
exp;5;5;1.067220;0.243730
exp;5;10;0.973970;0.228810
exp;5;15;0.894470;0.216090
exp;5;20;0.821970;0.204490
exp;5;25;0.755720;0.193890
exp;5;30;0.696720;0.184450
exp;5;35;0.637470;0.174970
exp;5;40;0.583620;0.166350
exp;5;45;0.533370;0.158310
exp;5;50;0.492620;0.151790
exp;5;55;0.455870;0.145910
exp;5;60;0.417870;0.139830
exp;5;65;0.385870;0.134710
exp;5;70;0.356370;0.129990
exp;5;75;0.329370;0.125670
exp;5;80;0.308620;0.122350
exp;5;85;0.288370;0.119110
exp;5;90;0.268870;0.115990
exp;5;95;0.250620;0.113070
exp;5;100;0.235870;0.110710
exp;5;105;0.220620;0.108270
exp;5;110;0.210620;0.106670
exp;5;115;0.203120;0.105470
exp;5;120;0.194120;0.104030
exp;5;125;0.182620;0.102190
exp;5;130;0.174370;0.100870
exp;5;135;0.167120;0.099710
exp;5;140;0.159870;0.098550
exp;5;145;0.151370;0.097190
exp;5;150;0.144870;0.096150
exp;5;155;0.141120;0.095550
exp;5;160;0.137370;0.094950
exp;5;165;0.134120;0.094430
exp;5;170;0.129120;0.093630
exp;5;175;0.123620;0.092750
exp;5;180;0.119620;0.092110
exp;5;185;0.116120;0.091550
exp;5;190;0.115370;0.091430
exp;5;195;0.114370;0.091270
exp;5;200;0.112620;0.090990
exp;5;205;0.110620;0.090670
exp;5;210;0.108120;0.090270
exp;5;215;0.105370;0.089830
exp;5;220;0.103870;0.089590
exp;5;225;0.102620;0.089390
exp;5;230;0.101870;0.089270
exp;5;235;0.100870;0.089110
exp;5;240;0.099870;0.088950
exp;5;245;0.098870;0.088790
exp;5;250;0.097120;0.088510
exp;5;255;0.096370;0.088390
exp;5;260;0.095620;0.088270
exp;5;265;0.095120;0.088190
exp;5;270;0.094370;0.088070
exp;5;275;0.092620;0.087790
exp;5;280;0.092370;0.087750
exp;5;285;0.092120;0.087710
exp;5;290;0.091120;0.087550
exp;5;295;0.090870;0.087510
exp;5;300;0.090870;0.087510
exp;5;305;0.089870;0.087350
exp;5;310;0.089120;0.087230
exp;5;315;0.088370;0.087110
exp;5;320;0.088120;0.087070
exp;5;325;0.087870;0.087030
exp;5;330;0.087870;0.087030
exp;5;335;0.087870;0.087030
exp;5;340;0.087870;0.087030
exp;5;345;0.087870;0.087030
exp;5;350;0.087620;0.086990
exp;5;355;0.087620;0.086990
exp;5;360;0.087370;0.086950
exp;5;365;0.087370;0.086950
exp;5;370;0.087370;0.086950
exp;5;375;0.087120;0.086910
exp;5;380;0.087120;0.086910
exp;5;385;0.087120;0.086910
exp;5;390;0.087120;0.086910
exp;5;395;0.087120;0.086910
exp;5;400;0.087120;0.086910
exp;10;5;0.965530;0.220370
exp;10;10;0.886030;0.207650
exp;10;15;0.813530;0.196050
exp;10;20;0.747280;0.185450
exp;10;25;0.688280;0.176010
exp;10;30;0.629030;0.166530
exp;10;35;0.575180;0.157910
exp;10;40;0.524930;0.149870
exp;10;45;0.484180;0.143350
exp;10;50;0.447430;0.137470
exp;10;55;0.409430;0.131390
exp;10;60;0.377430;0.126270
exp;10;65;0.347930;0.121550
exp;10;70;0.320930;0.117230
exp;10;75;0.300180;0.113910
exp;10;80;0.279930;0.110670
exp;10;85;0.260430;0.107550
exp;10;90;0.242180;0.104630
exp;10;95;0.227430;0.102270
exp;10;100;0.212180;0.099830
exp;10;105;0.202180;0.098230
exp;10;110;0.194680;0.097030
exp;10;115;0.185680;0.095590
exp;10;120;0.174180;0.093750
exp;10;125;0.165930;0.092430
exp;10;130;0.158680;0.091270
exp;10;135;0.151430;0.090110
exp;10;140;0.142930;0.088750
exp;10;145;0.136430;0.087710
exp;10;150;0.132680;0.087110
exp;10;155;0.128930;0.086510
exp;10;160;0.125680;0.085990
exp;10;165;0.120680;0.085190
exp;10;170;0.115180;0.084310
exp;10;175;0.111180;0.083670
exp;10;180;0.107680;0.083110
exp;10;185;0.106930;0.082990
exp;10;190;0.105930;0.082830
exp;10;195;0.104180;0.082550
exp;10;200;0.102180;0.082230
exp;10;205;0.099680;0.081830
exp;10;210;0.096930;0.081390
exp;10;215;0.095430;0.081150
exp;10;220;0.094180;0.080950
exp;10;225;0.093430;0.080830
exp;10;230;0.092430;0.080670
exp;10;235;0.091430;0.080510
exp;10;240;0.090430;0.080350
exp;10;245;0.088680;0.080070
exp;10;250;0.087930;0.079950
exp;10;255;0.087180;0.079830
exp;10;260;0.086680;0.079750
exp;10;265;0.085930;0.079630
exp;10;270;0.084180;0.079350
exp;10;275;0.083930;0.079310
exp;10;280;0.083680;0.079270
exp;10;285;0.082680;0.079110
exp;10;290;0.082430;0.079070
exp;10;295;0.082430;0.079070
exp;10;300;0.081430;0.078910
exp;10;305;0.080680;0.078790
exp;10;310;0.079930;0.078670
exp;10;315;0.079680;0.078630
exp;10;320;0.079430;0.078590
exp;10;325;0.079430;0.078590
exp;10;330;0.079430;0.078590
exp;10;335;0.079430;0.078590
exp;10;340;0.079430;0.078590
exp;10;345;0.079180;0.078550
exp;10;350;0.079180;0.078550
exp;10;355;0.078930;0.078510
exp;10;360;0.078930;0.078510
exp;10;365;0.078930;0.078510
exp;10;370;0.078680;0.078470
exp;10;375;0.078680;0.078470
exp;10;380;0.078680;0.078470
exp;10;385;0.078680;0.078470
exp;10;390;0.078680;0.078470
exp;10;395;0.078680;0.078470
exp;10;400;0.078430;0.078430
exp;15;5;0.878570;0.200190
exp;15;10;0.806070;0.188590
exp;15;15;0.739820;0.177990
exp;15;20;0.680820;0.168550
exp;15;25;0.621570;0.159070
exp;15;30;0.567720;0.150450
exp;15;35;0.517470;0.142410
exp;15;40;0.476720;0.135890
exp;15;45;0.439970;0.130010
exp;15;50;0.401970;0.123930
exp;15;55;0.369970;0.118810
exp;15;60;0.340470;0.114090
exp;15;65;0.313470;0.109770
exp;15;70;0.292720;0.106450
exp;15;75;0.272470;0.103210
exp;15;80;0.252970;0.100090
exp;15;85;0.234720;0.097170
exp;15;90;0.219970;0.094810
exp;15;95;0.204720;0.092370
exp;15;100;0.194720;0.090770
exp;15;105;0.187220;0.089570
exp;15;110;0.178220;0.088130
exp;15;115;0.166720;0.086290
exp;15;120;0.158470;0.084970
exp;15;125;0.151220;0.083810
exp;15;130;0.143970;0.082650
exp;15;135;0.135470;0.081290
exp;15;140;0.128970;0.080250
exp;15;145;0.125220;0.079650
exp;15;150;0.121470;0.079050
exp;15;155;0.118220;0.078530
exp;15;160;0.113220;0.077730
exp;15;165;0.107720;0.076850
exp;15;170;0.103720;0.076210
exp;15;175;0.100220;0.075650
exp;15;180;0.099470;0.075530
exp;15;185;0.098470;0.075370
exp;15;190;0.096720;0.075090
exp;15;195;0.094720;0.074770
exp;15;200;0.092220;0.074370
exp;15;205;0.089470;0.073930
exp;15;210;0.087970;0.073690
exp;15;215;0.086720;0.073490
exp;15;220;0.085970;0.073370
exp;15;225;0.084970;0.073210
exp;15;230;0.083970;0.073050
exp;15;235;0.082970;0.072890
exp;15;240;0.081220;0.072610
exp;15;245;0.080470;0.072490
exp;15;250;0.079720;0.072370
exp;15;255;0.079220;0.072290
exp;15;260;0.078470;0.072170
exp;15;265;0.076720;0.071890
exp;15;270;0.076470;0.071850
exp;15;275;0.076220;0.071810
exp;15;280;0.075220;0.071650
exp;15;285;0.074970;0.071610
exp;15;290;0.074970;0.071610
exp;15;295;0.073970;0.071450
exp;15;300;0.073220;0.071330
exp;15;305;0.072470;0.071210
exp;15;310;0.072220;0.071170
exp;15;315;0.071970;0.071130
exp;15;320;0.071970;0.071130
exp;15;325;0.071970;0.071130
exp;15;330;0.071970;0.071130
exp;15;335;0.071970;0.071130
exp;15;340;0.071720;0.071090
exp;15;345;0.071720;0.071090
exp;15;350;0.071470;0.071050
exp;15;355;0.071470;0.071050
exp;15;360;0.071470;0.071050
exp;15;365;0.071220;0.071010
exp;15;370;0.071220;0.071010
exp;15;375;0.071220;0.071010
exp;15;380;0.071220;0.071010
exp;15;385;0.071220;0.071010
exp;15;390;0.071220;0.071010
exp;15;395;0.070970;0.070970
exp;15;400;0.070970;0.070970
exp;20;5;0.799710;0.182230
exp;20;10;0.733460;0.171630
exp;20;15;0.674460;0.162190
exp;20;20;0.615210;0.152710
exp;20;25;0.561360;0.144090
exp;20;30;0.511110;0.136050
exp;20;35;0.470360;0.129530
exp;20;40;0.433610;0.123650
exp;20;45;0.395610;0.117570
exp;20;50;0.363610;0.112450
exp;20;55;0.334110;0.107730
exp;20;60;0.307110;0.103410
exp;20;65;0.286360;0.100090
exp;20;70;0.266110;0.096850
exp;20;75;0.246610;0.093730
exp;20;80;0.228360;0.090810
exp;20;85;0.213610;0.088450
exp;20;90;0.198360;0.086010
exp;20;95;0.188360;0.084410
exp;20;100;0.180860;0.083210
exp;20;105;0.171860;0.081770
exp;20;110;0.160360;0.079930
exp;20;115;0.152110;0.078610
exp;20;120;0.144860;0.077450
exp;20;125;0.137610;0.076290
exp;20;130;0.129110;0.074930
exp;20;135;0.122610;0.073890
exp;20;140;0.118860;0.073290
exp;20;145;0.115110;0.072690
exp;20;150;0.111860;0.072170
exp;20;155;0.106860;0.071370
exp;20;160;0.101360;0.070490
exp;20;165;0.097360;0.069850
exp;20;170;0.093860;0.069290
exp;20;175;0.093110;0.069170
exp;20;180;0.092110;0.069010
exp;20;185;0.090360;0.068730
exp;20;190;0.088360;0.068410
exp;20;195;0.085860;0.068010
exp;20;200;0.083110;0.067570
exp;20;205;0.081610;0.067330
exp;20;210;0.080360;0.067130
exp;20;215;0.079610;0.067010
exp;20;220;0.078610;0.066850
exp;20;225;0.077610;0.066690
exp;20;230;0.076610;0.066530
exp;20;235;0.074860;0.066250
exp;20;240;0.074110;0.066130
exp;20;245;0.073360;0.066010
exp;20;250;0.072860;0.065930
exp;20;255;0.072110;0.065810
exp;20;260;0.070360;0.065530
exp;20;265;0.070110;0.065490
exp;20;270;0.069860;0.065450
exp;20;275;0.068860;0.065290
exp;20;280;0.068610;0.065250
exp;20;285;0.068610;0.065250
exp;20;290;0.067610;0.065090
exp;20;295;0.066860;0.064970
exp;20;300;0.066110;0.064850
exp;20;305;0.065860;0.064810
exp;20;310;0.065610;0.064770
exp;20;315;0.065610;0.064770
exp;20;320;0.065610;0.064770
exp;20;325;0.065610;0.064770
exp;20;330;0.065610;0.064770
exp;20;335;0.065360;0.064730
exp;20;340;0.065360;0.064730
exp;20;345;0.065110;0.064690
exp;20;350;0.065110;0.064690
exp;20;355;0.065110;0.064690
exp;20;360;0.064860;0.064650
exp;20;365;0.064860;0.064650
exp;20;370;0.064860;0.064650
exp;20;375;0.064860;0.064650
exp;20;380;0.064860;0.064650
exp;20;385;0.064860;0.064650
exp;20;390;0.064610;0.064610
exp;20;395;0.064610;0.064610
exp;20;400;0.064610;0.064610
exp;25;5;0.727660;0.165830
exp;25;10;0.668660;0.156390
exp;25;15;0.609410;0.146910
exp;25;20;0.555560;0.138290
exp;25;25;0.505310;0.130250
exp;25;30;0.464560;0.123730
exp;25;35;0.427810;0.117850
exp;25;40;0.389810;0.111770
exp;25;45;0.357810;0.106650
exp;25;50;0.328310;0.101930
exp;25;55;0.301310;0.097610
exp;25;60;0.280560;0.094290
exp;25;65;0.260310;0.091050
exp;25;70;0.240810;0.087930
exp;25;75;0.222560;0.085010
exp;25;80;0.207810;0.082650
exp;25;85;0.192560;0.080210
exp;25;90;0.182560;0.078610
exp;25;95;0.175060;0.077410
exp;25;100;0.166060;0.075970
exp;25;105;0.154560;0.074130
exp;25;110;0.146310;0.072810
exp;25;115;0.139060;0.071650
exp;25;120;0.131810;0.070490
exp;25;125;0.123310;0.069130
exp;25;130;0.116810;0.068090
exp;25;135;0.113060;0.067490
exp;25;140;0.109310;0.066890
exp;25;145;0.106060;0.066370
exp;25;150;0.101060;0.065570
exp;25;155;0.095560;0.064690
exp;25;160;0.091560;0.064050
exp;25;165;0.088060;0.063490
exp;25;170;0.087310;0.063370
exp;25;175;0.086310;0.063210
exp;25;180;0.084560;0.062930
exp;25;185;0.082560;0.062610
exp;25;190;0.080060;0.062210
exp;25;195;0.077310;0.061770
exp;25;200;0.075810;0.061530
exp;25;205;0.074560;0.061330
exp;25;210;0.073810;0.061210
exp;25;215;0.072810;0.061050
exp;25;220;0.071810;0.060890
exp;25;225;0.070810;0.060730
exp;25;230;0.069060;0.060450
exp;25;235;0.068310;0.060330
exp;25;240;0.067560;0.060210
exp;25;245;0.067060;0.060130
exp;25;250;0.066310;0.060010
exp;25;255;0.064560;0.059730
exp;25;260;0.064310;0.059690
exp;25;265;0.064060;0.059650
exp;25;270;0.063060;0.059490
exp;25;275;0.062810;0.059450
exp;25;280;0.062810;0.059450
exp;25;285;0.061810;0.059290
exp;25;290;0.061060;0.059170
exp;25;295;0.060310;0.059050
exp;25;300;0.060060;0.059010
exp;25;305;0.059810;0.058970
exp;25;310;0.059810;0.058970
exp;25;315;0.059810;0.058970
exp;25;320;0.059810;0.058970
exp;25;325;0.059810;0.058970
exp;25;330;0.059560;0.058930
exp;25;335;0.059560;0.058930
exp;25;340;0.059310;0.058890
exp;25;345;0.059310;0.058890
exp;25;350;0.059310;0.058890
exp;25;355;0.059060;0.058850
exp;25;360;0.059060;0.058850
exp;25;365;0.059060;0.058850
exp;25;370;0.059060;0.058850
exp;25;375;0.059060;0.058850
exp;25;380;0.059060;0.058850
exp;25;385;0.058810;0.058810
exp;25;390;0.058810;0.058810
exp;25;395;0.058810;0.058810
exp;25;400;0.058810;0.058810
exp;30;5;0.663360;0.151090
exp;30;10;0.604110;0.141610
exp;30;15;0.550260;0.132990
exp;30;20;0.500010;0.124950
exp;30;25;0.459260;0.118430
exp;30;30;0.422510;0.112550
exp;30;35;0.384510;0.106470
exp;30;40;0.352510;0.101350
exp;30;45;0.323010;0.096630
exp;30;50;0.296010;0.092310
exp;30;55;0.275260;0.088990
exp;30;60;0.255010;0.085750
exp;30;65;0.235510;0.082630
exp;30;70;0.217260;0.079710
