Parameters => idle_timeout: [5, 400]; step: 5
distribution;timeoutIdle;timeOverhead;energyOverhead
gaussian;5;0.099990;0.099990
gaussian;10;0.099990;0.099990
gaussian;15;0.099990;0.099990
gaussian;20;0.099990;0.099990
gaussian;25;0.099990;0.099990
gaussian;30;0.099990;0.099990
gaussian;35;0.099970;0.099970
gaussian;40;0.099890;0.099890
gaussian;45;0.099710;0.099710
gaussian;50;0.099370;0.099370
gaussian;55;0.098390;0.098390
gaussian;60;0.097090;0.097090
gaussian;65;0.095270;0.095270
gaussian;70;0.091950;0.091950
gaussian;75;0.088010;0.088010
gaussian;80;0.082150;0.082150
gaussian;85;0.074410;0.074410
gaussian;90;0.065310;0.065310
gaussian;95;0.055490;0.055490
gaussian;100;0.045570;0.045570
gaussian;105;0.035400;0.035400
gaussian;110;0.027440;0.027440
gaussian;115;0.019680;0.019680
gaussian;120;0.013540;0.013540
gaussian;125;0.008760;0.008760
gaussian;130;0.005380;0.005380
gaussian;135;0.003340;0.003340
gaussian;140;0.001700;0.001700
gaussian;145;0.000800;0.000800
gaussian;150;0.000340;0.000340
gaussian;155;0.000180;0.000180
gaussian;160;0.000040;0.000040
gaussian;165;0.000020;0.000020
gaussian;170;0.000020;0.000020
gaussian;175;0.000000;0.000000
gaussian;180;0.000000;0.000000
gaussian;185;0.000000;0.000000
gaussian;190;0.000000;0.000000
gaussian;195;0.000000;0.000000
gaussian;200;0.000000;0.000000
gaussian;205;0.000000;0.000000
gaussian;210;0.000000;0.000000
gaussian;215;0.000000;0.000000
gaussian;220;0.000000;0.000000
gaussian;225;0.000000;0.000000
gaussian;230;0.000000;0.000000
gaussian;235;0.000000;0.000000
gaussian;240;0.000000;0.000000
gaussian;245;0.000000;0.000000
gaussian;250;0.000000;0.000000
gaussian;255;0.000000;0.000000
gaussian;260;0.000000;0.000000
gaussian;265;0.000000;0.000000
gaussian;270;0.000000;0.000000
gaussian;275;0.000000;0.000000
gaussian;280;0.000000;0.000000
gaussian;285;0.000000;0.000000
gaussian;290;0.000000;0.000000
gaussian;295;0.000000;0.000000
gaussian;300;0.000000;0.000000
gaussian;305;0.000000;0.000000
gaussian;310;0.000000;0.000000
gaussian;315;0.000000;0.000000
gaussian;320;0.000000;0.000000
gaussian;325;0.000000;0.000000
gaussian;330;0.000000;0.000000
gaussian;335;0.000000;0.000000
gaussian;340;0.000000;0.000000
gaussian;345;0.000000;0.000000
gaussian;350;0.000000;0.000000
gaussian;355;0.000000;0.000000
gaussian;360;0.000000;0.000000
gaussian;365;0.000000;0.000000
gaussian;370;0.000000;0.000000
gaussian;375;0.000000;0.000000
gaussian;380;0.000000;0.000000
gaussian;385;0.000000;0.000000
gaussian;390;0.000000;0.000000
gaussian;395;0.000000;0.000000
gaussian;400;0.000000;0.000000
