Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;timeOverhead;energyOverhead
uniform_1_100;5;5;1.204450;0.271970
uniform_1_100;5;10;1.138100;0.261350
uniform_1_100;5;15;1.073350;0.250990
uniform_1_100;5;20;1.017850;0.242110
uniform_1_100;5;25;0.955350;0.232110
uniform_1_100;5;30;0.888100;0.221350
uniform_1_100;5;35;0.816850;0.209950
uniform_1_100;5;40;0.758100;0.200550
uniform_1_100;5;45;0.693600;0.190230
uniform_1_100;5;50;0.633350;0.180590
uniform_1_100;5;55;0.582600;0.172470
uniform_1_100;5;60;0.512350;0.161230
uniform_1_100;5;65;0.444350;0.150350
uniform_1_100;5;70;0.381350;0.140270
uniform_1_100;5;75;0.316350;0.129870
uniform_1_100;5;80;0.252100;0.119590
uniform_1_100;5;85;0.187350;0.109230
uniform_1_100;5;90;0.131850;0.100350
uniform_1_100;5;95;0.094350;0.094350
uniform_1_100;5;100;0.094350;0.094350
uniform_1_100;5;105;0.094350;0.094350
uniform_1_100;5;110;0.094350;0.094350
uniform_1_100;5;115;0.094350;0.094350
uniform_1_100;5;120;0.094350;0.094350
uniform_1_100;5;125;0.094350;0.094350
uniform_1_100;5;130;0.094350;0.094350
uniform_1_100;5;135;0.094350;0.094350
uniform_1_100;5;140;0.094350;0.094350
uniform_1_100;5;145;0.094350;0.094350
uniform_1_100;5;150;0.094350;0.094350
uniform_1_100;5;155;0.094350;0.094350
uniform_1_100;5;160;0.094350;0.094350
uniform_1_100;5;165;0.094350;0.094350
uniform_1_100;5;170;0.094350;0.094350
uniform_1_100;5;175;0.094350;0.094350
uniform_1_100;5;180;0.094350;0.094350
uniform_1_100;5;185;0.094350;0.094350
uniform_1_100;5;190;0.094350;0.094350
uniform_1_100;5;195;0.094350;0.094350
uniform_1_100;5;200;0.094350;0.094350
uniform_1_100;5;205;0.094350;0.094350
uniform_1_100;5;210;0.094350;0.094350
uniform_1_100;5;215;0.094350;0.094350
uniform_1_100;5;220;0.094350;0.094350
uniform_1_100;5;225;0.094350;0.094350
uniform_1_100;5;230;0.094350;0.094350
uniform_1_100;5;235;0.094350;0.094350
uniform_1_100;5;240;0.094350;0.094350
uniform_1_100;5;245;0.094350;0.094350
uniform_1_100;5;250;0.094350;0.094350
uniform_1_100;5;255;0.094350;0.094350
uniform_1_100;5;260;0.094350;0.094350
uniform_1_100;5;265;0.094350;0.094350
uniform_1_100;5;270;0.094350;0.094350
uniform_1_100;5;275;0.094350;0.094350
uniform_1_100;5;280;0.094350;0.094350
uniform_1_100;5;285;0.094350;0.094350
uniform_1_100;5;290;0.094350;0.094350
uniform_1_100;5;295;0.094350;0.094350
uniform_1_100;5;300;0.094350;0.094350
uniform_1_100;5;305;0.094350;0.094350
uniform_1_100;5;310;0.094350;0.094350
uniform_1_100;5;315;0.094350;0.094350
uniform_1_100;5;320;0.094350;0.094350
uniform_1_100;5;325;0.094350;0.094350
uniform_1_100;5;330;0.094350;0.094350
uniform_1_100;5;335;0.094350;0.094350
uniform_1_100;5;340;0.094350;0.094350
uniform_1_100;5;345;0.094350;0.094350
uniform_1_100;5;350;0.094350;0.094350
uniform_1_100;5;355;0.094350;0.094350
uniform_1_100;5;360;0.094350;0.094350
uniform_1_100;5;365;0.094350;0.094350
uniform_1_100;5;370;0.094350;0.094350
uniform_1_100;5;375;0.094350;0.094350
uniform_1_100;5;380;0.094350;0.094350
uniform_1_100;5;385;0.094350;0.094350
uniform_1_100;5;390;0.094350;0.094350
