Parameters => idle_timeout: [5, 400]; step: 5
distribution;timeoutIdle;energySaved
exp;5;-1.4
exp;10;-1.2
exp;15;-1.0
exp;20;-1.0
exp;25;-0.9
exp;30;-0.9
exp;35;-0.8
exp;40;-0.7
exp;45;-0.6
exp;50;-0.5
exp;55;-0.5
exp;60;-0.4
exp;65;-0.3
exp;70;-0.3
exp;75;-0.2
exp;80;-0.2
exp;85;-0.2
exp;90;-0.2
exp;95;-0.1
exp;100;-0.1
exp;105;-0.1
exp;110;-0.0
exp;115;-0.0
exp;120;-0.1
exp;125;-0.1
exp;130;-0.1
exp;135;-0.1
exp;140;-0.1
exp;145;-0.1
exp;150;-0.0
exp;155;-0.0
exp;160;-0.0
exp;165;-0.0
exp;170;-0.1
exp;175;-0.0
exp;180;-0.0
exp;185;-0.0
exp;190;0.0
exp;195;-0.0
exp;200;-0.0
exp;205;-0.0
exp;210;-0.0
exp;215;-0.0
exp;220;-0.0
exp;225;-0.0
exp;230;-0.0
exp;235;-0.0
exp;240;-0.0
exp;245;-0.0
exp;250;-0.0
exp;255;-0.0
exp;260;-0.0
exp;265;-0.0
exp;270;-0.0
exp;275;-0.0
exp;280;-0.0
exp;285;-0.0
exp;290;-0.0
exp;295;-0.0
exp;300;-0.0
exp;305;-0.0
exp;310;-0.0
exp;315;-0.0
exp;320;-0.0
exp;325;-0.0
exp;330;-0.0
exp;335;-0.0
exp;340;-0.0
exp;345;-0.0
exp;350;-0.0
exp;355;-0.0
exp;360;-0.0
exp;365;-0.0
exp;370;-0.0
exp;375;-0.0
exp;380;-0.0
exp;385;-0.0
exp;390;-0.0
exp;395;-0.0
exp;400;-0.0
