Parameters => idle_timeout: [5, 400]; step: 5
distribution;timeoutIdle;energySaved
gaussian_250_50;5;32.8
gaussian_250_50;10;32.0
gaussian_250_50;15;31.1
gaussian_250_50;20;30.2
gaussian_250_50;25;29.3
gaussian_250_50;30;28.4
gaussian_250_50;35;27.6
gaussian_250_50;40;26.7
gaussian_250_50;45;25.8
gaussian_250_50;50;24.9
gaussian_250_50;55;24.0
gaussian_250_50;60;23.2
gaussian_250_50;65;22.3
gaussian_250_50;70;21.4
gaussian_250_50;75;20.5
gaussian_250_50;80;19.6
gaussian_250_50;85;18.7
gaussian_250_50;90;17.9
gaussian_250_50;95;17.0
gaussian_250_50;100;16.1
gaussian_250_50;105;15.2
gaussian_250_50;110;14.3
gaussian_250_50;115;13.5
gaussian_250_50;120;12.6
gaussian_250_50;125;11.7
gaussian_250_50;130;10.8
gaussian_250_50;135;9.9
gaussian_250_50;140;9.1
gaussian_250_50;145;8.2
gaussian_250_50;150;7.3
gaussian_250_50;155;6.4
gaussian_250_50;160;5.5
gaussian_250_50;165;4.7
gaussian_250_50;170;3.8
gaussian_250_50;175;2.9
gaussian_250_50;180;2.0
gaussian_250_50;185;1.2
gaussian_250_50;190;0.3
gaussian_250_50;195;-0.5
gaussian_250_50;200;-1.2
gaussian_250_50;205;-1.9
gaussian_250_50;210;-2.5
gaussian_250_50;215;-3.1
gaussian_250_50;220;-3.5
gaussian_250_50;225;-3.7
gaussian_250_50;230;-3.9
gaussian_250_50;235;-3.8
gaussian_250_50;240;-3.7
gaussian_250_50;245;-3.4
gaussian_250_50;250;-3.1
gaussian_250_50;255;-2.7
gaussian_250_50;260;-2.2
gaussian_250_50;265;-1.8
gaussian_250_50;270;-1.5
gaussian_250_50;275;-1.1
gaussian_250_50;280;-0.8
gaussian_250_50;285;-0.6
gaussian_250_50;290;-0.4
gaussian_250_50;295;-0.2
gaussian_250_50;300;-0.1
gaussian_250_50;305;-0.1
gaussian_250_50;310;-0.0
gaussian_250_50;315;-0.0
gaussian_250_50;320;-0.0
gaussian_250_50;325;-0.0
gaussian_250_50;330;-0.0
gaussian_250_50;335;-0.0
gaussian_250_50;340;0.0
gaussian_250_50;345;0.0
gaussian_250_50;350;0.0
gaussian_250_50;355;0.0
gaussian_250_50;360;0.0
gaussian_250_50;365;0.0
gaussian_250_50;370;0.0
gaussian_250_50;375;0.0
gaussian_250_50;380;0.0
gaussian_250_50;385;0.0
gaussian_250_50;390;0.0
gaussian_250_50;395;0.0
gaussian_250_50;400;0.0
