Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian_400_25;5;5;37.4
gaussian_400_25;5;10;37.3
gaussian_400_25;5;15;37.2
gaussian_400_25;5;20;37.1
gaussian_400_25;5;25;37.0
gaussian_400_25;5;30;36.9
gaussian_400_25;5;35;36.8
gaussian_400_25;5;40;36.7
gaussian_400_25;5;45;36.6
gaussian_400_25;5;50;36.5
gaussian_400_25;5;55;36.4
gaussian_400_25;5;60;36.3
gaussian_400_25;5;65;36.3
gaussian_400_25;5;70;36.2
gaussian_400_25;5;75;36.1
gaussian_400_25;5;80;36.0
gaussian_400_25;5;85;35.9
gaussian_400_25;5;90;35.8
gaussian_400_25;5;95;35.7
gaussian_400_25;5;100;35.6
gaussian_400_25;5;105;35.5
gaussian_400_25;5;110;35.4
gaussian_400_25;5;115;35.3
gaussian_400_25;5;120;35.2
gaussian_400_25;5;125;35.1
gaussian_400_25;5;130;35.0
gaussian_400_25;5;135;34.9
gaussian_400_25;5;140;34.8
gaussian_400_25;5;145;34.7
gaussian_400_25;5;150;34.6
gaussian_400_25;5;155;34.5
gaussian_400_25;5;160;34.4
gaussian_400_25;5;165;34.3
gaussian_400_25;5;170;34.2
gaussian_400_25;5;175;34.1
gaussian_400_25;5;180;34.0
gaussian_400_25;5;185;33.9
gaussian_400_25;5;190;33.8
gaussian_400_25;5;195;33.7
gaussian_400_25;5;200;33.7
gaussian_400_25;5;205;33.6
gaussian_400_25;5;210;33.5
gaussian_400_25;5;215;33.4
gaussian_400_25;5;220;33.3
gaussian_400_25;5;225;33.2
gaussian_400_25;5;230;33.1
gaussian_400_25;5;235;33.0
gaussian_400_25;5;240;32.9
gaussian_400_25;5;245;32.8
gaussian_400_25;5;250;32.7
gaussian_400_25;5;255;32.6
gaussian_400_25;5;260;32.5
gaussian_400_25;5;265;32.4
gaussian_400_25;5;270;32.3
gaussian_400_25;5;275;32.2
gaussian_400_25;5;280;32.1
gaussian_400_25;5;285;32.0
gaussian_400_25;5;290;31.9
gaussian_400_25;5;295;31.8
gaussian_400_25;5;300;31.7
gaussian_400_25;5;305;31.6
gaussian_400_25;5;310;31.5
gaussian_400_25;5;315;31.4
gaussian_400_25;5;320;31.4
gaussian_400_25;5;325;31.3
gaussian_400_25;5;330;31.2
gaussian_400_25;5;335;31.2
gaussian_400_25;5;340;31.2
gaussian_400_25;5;345;31.3
gaussian_400_25;5;350;31.4
gaussian_400_25;5;355;31.7
gaussian_400_25;5;360;32.0
gaussian_400_25;5;365;32.5
gaussian_400_25;5;370;33.2
gaussian_400_25;5;375;34.0
gaussian_400_25;5;380;35.0
gaussian_400_25;5;385;36.1
gaussian_400_25;5;390;37.3
gaussian_400_25;5;395;38.4
gaussian_400_25;5;400;39.5
gaussian_400_25;10;5;36.6
gaussian_400_25;10;10;36.5
gaussian_400_25;10;15;36.4
gaussian_400_25;10;20;36.3
gaussian_400_25;10;25;36.3
gaussian_400_25;10;30;36.2
gaussian_400_25;10;35;36.1
gaussian_400_25;10;40;36.0
gaussian_400_25;10;45;35.9
gaussian_400_25;10;50;35.8
gaussian_400_25;10;55;35.7
gaussian_400_25;10;60;35.6
gaussian_400_25;10;65;35.5
gaussian_400_25;10;70;35.4
gaussian_400_25;10;75;35.3
gaussian_400_25;10;80;35.2
gaussian_400_25;10;85;35.1
gaussian_400_25;10;90;35.0
gaussian_400_25;10;95;34.9
gaussian_400_25;10;100;34.8
gaussian_400_25;10;105;34.7
gaussian_400_25;10;110;34.6
gaussian_400_25;10;115;34.5
gaussian_400_25;10;120;34.4
gaussian_400_25;10;125;34.3
gaussian_400_25;10;130;34.2
gaussian_400_25;10;135;34.1
gaussian_400_25;10;140;34.0
gaussian_400_25;10;145;33.9
gaussian_400_25;10;150;33.8
gaussian_400_25;10;155;33.7
gaussian_400_25;10;160;33.7
gaussian_400_25;10;165;33.6
gaussian_400_25;10;170;33.5
gaussian_400_25;10;175;33.4
gaussian_400_25;10;180;33.3
gaussian_400_25;10;185;33.2
gaussian_400_25;10;190;33.1
gaussian_400_25;10;195;33.0
gaussian_400_25;10;200;32.9
gaussian_400_25;10;205;32.8
gaussian_400_25;10;210;32.7
gaussian_400_25;10;215;32.6
gaussian_400_25;10;220;32.5
gaussian_400_25;10;225;32.4
gaussian_400_25;10;230;32.3
gaussian_400_25;10;235;32.2
gaussian_400_25;10;240;32.1
gaussian_400_25;10;245;32.0
gaussian_400_25;10;250;31.9
gaussian_400_25;10;255;31.8
gaussian_400_25;10;260;31.7
gaussian_400_25;10;265;31.6
gaussian_400_25;10;270;31.5
gaussian_400_25;10;275;31.4
gaussian_400_25;10;280;31.3
gaussian_400_25;10;285;31.2
gaussian_400_25;10;290;31.1
gaussian_400_25;10;295;31.0
gaussian_400_25;10;300;31.0
gaussian_400_25;10;305;30.9
gaussian_400_25;10;310;30.8
gaussian_400_25;10;315;30.7
gaussian_400_25;10;320;30.6
gaussian_400_25;10;325;30.5
gaussian_400_25;10;330;30.5
gaussian_400_25;10;335;30.5
gaussian_400_25;10;340;30.6
gaussian_400_25;10;345;30.7
gaussian_400_25;10;350;31.0
gaussian_400_25;10;355;31.3
gaussian_400_25;10;360;31.8
gaussian_400_25;10;365;32.5
gaussian_400_25;10;370;33.3
gaussian_400_25;10;375;34.3
gaussian_400_25;10;380;35.4
gaussian_400_25;10;385;36.6
gaussian_400_25;10;390;37.7
gaussian_400_25;10;395;38.8
gaussian_400_25;10;400;40.0
gaussian_400_25;15;5;35.9
gaussian_400_25;15;10;35.8
gaussian_400_25;15;15;35.7
gaussian_400_25;15;20;35.6
gaussian_400_25;15;25;35.5
gaussian_400_25;15;30;35.4
gaussian_400_25;15;35;35.3
gaussian_400_25;15;40;35.2
gaussian_400_25;15;45;35.1
gaussian_400_25;15;50;35.0
gaussian_400_25;15;55;34.9
gaussian_400_25;15;60;34.8
gaussian_400_25;15;65;34.7
gaussian_400_25;15;70;34.6
gaussian_400_25;15;75;34.5
gaussian_400_25;15;80;34.4
gaussian_400_25;15;85;34.3
gaussian_400_25;15;90;34.2
gaussian_400_25;15;95;34.1
gaussian_400_25;15;100;34.0
gaussian_400_25;15;105;33.9
gaussian_400_25;15;110;33.8
gaussian_400_25;15;115;33.7
gaussian_400_25;15;120;33.6
gaussian_400_25;15;125;33.6
gaussian_400_25;15;130;33.5
gaussian_400_25;15;135;33.4
gaussian_400_25;15;140;33.3
gaussian_400_25;15;145;33.2
gaussian_400_25;15;150;33.1
gaussian_400_25;15;155;33.0
gaussian_400_25;15;160;32.9
gaussian_400_25;15;165;32.8
gaussian_400_25;15;170;32.7
gaussian_400_25;15;175;32.6
gaussian_400_25;15;180;32.5
gaussian_400_25;15;185;32.4
gaussian_400_25;15;190;32.3
gaussian_400_25;15;195;32.2
gaussian_400_25;15;200;32.1
gaussian_400_25;15;205;32.0
gaussian_400_25;15;210;31.9
gaussian_400_25;15;215;31.8
gaussian_400_25;15;220;31.7
gaussian_400_25;15;225;31.6
gaussian_400_25;15;230;31.5
gaussian_400_25;15;235;31.4
gaussian_400_25;15;240;31.3
gaussian_400_25;15;245;31.2
gaussian_400_25;15;250;31.1
gaussian_400_25;15;255;31.0
gaussian_400_25;15;260;31.0
gaussian_400_25;15;265;30.9
gaussian_400_25;15;270;30.8
gaussian_400_25;15;275;30.7
gaussian_400_25;15;280;30.6
gaussian_400_25;15;285;30.5
gaussian_400_25;15;290;30.4
gaussian_400_25;15;295;30.3
gaussian_400_25;15;300;30.2
gaussian_400_25;15;305;30.1
gaussian_400_25;15;310;30.0
gaussian_400_25;15;315;29.9
gaussian_400_25;15;320;29.9
gaussian_400_25;15;325;29.8
gaussian_400_25;15;330;29.8
gaussian_400_25;15;335;29.9
gaussian_400_25;15;340;30.1
gaussian_400_25;15;345;30.3
gaussian_400_25;15;350;30.7
gaussian_400_25;15;355;31.2
gaussian_400_25;15;360;31.8
gaussian_400_25;15;365;32.6
gaussian_400_25;15;370;33.7
gaussian_400_25;15;375;34.7
gaussian_400_25;15;380;35.9
gaussian_400_25;15;385;37.0
gaussian_400_25;15;390;38.2
gaussian_400_25;15;395;39.4
gaussian_400_25;15;400;40.4
gaussian_400_25;20;5;35.1
gaussian_400_25;20;10;35.0
gaussian_400_25;20;15;34.9
gaussian_400_25;20;20;34.8
gaussian_400_25;20;25;34.7
gaussian_400_25;20;30;34.6
gaussian_400_25;20;35;34.5
gaussian_400_25;20;40;34.4
gaussian_400_25;20;45;34.3
gaussian_400_25;20;50;34.2
gaussian_400_25;20;55;34.1
gaussian_400_25;20;60;34.0
gaussian_400_25;20;65;33.9
gaussian_400_25;20;70;33.8
gaussian_400_25;20;75;33.7
gaussian_400_25;20;80;33.6
gaussian_400_25;20;85;33.5
gaussian_400_25;20;90;33.5
gaussian_400_25;20;95;33.4
gaussian_400_25;20;100;33.3
gaussian_400_25;20;105;33.2
