Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
gaussian;5;5;-16.6
gaussian;5;10;-16.7
gaussian;5;15;-16.9
gaussian;5;20;-17.1
gaussian;5;25;-17.3
gaussian;5;30;-17.4
gaussian;5;35;-17.6
gaussian;5;40;-17.7
gaussian;5;45;-17.8
gaussian;5;50;-17.7
gaussian;5;55;-17.5
gaussian;5;60;-17.1
gaussian;5;65;-16.4
gaussian;5;70;-15.4
gaussian;5;75;-13.9
gaussian;5;80;-11.8
gaussian;5;85;-9.3
gaussian;5;90;-6.6
gaussian;5;95;-3.8
gaussian;5;100;-0.9
gaussian;5;105;1.3
gaussian;5;110;3.5
gaussian;5;115;5.2
gaussian;5;120;6.6
gaussian;5;125;7.5
gaussian;5;130;8.1
gaussian;5;135;8.6
gaussian;5;140;8.8
gaussian;5;145;9.0
gaussian;5;150;9.0
gaussian;5;155;9.1
gaussian;5;160;9.1
gaussian;5;165;9.1
gaussian;5;170;9.1
gaussian;5;175;9.1
gaussian;5;180;9.1
gaussian;5;185;9.1
gaussian;5;190;9.1
gaussian;5;195;9.1
gaussian;5;200;9.1
gaussian;5;205;9.1
gaussian;5;210;9.1
gaussian;5;215;9.1
gaussian;5;220;9.1
gaussian;5;225;9.1
gaussian;5;230;9.1
gaussian;5;235;9.1
gaussian;5;240;9.1
gaussian;5;245;9.1
gaussian;5;250;9.1
gaussian;5;255;9.1
gaussian;5;260;9.1
gaussian;5;265;9.1
gaussian;5;270;9.1
gaussian;5;275;9.1
gaussian;5;280;9.1
gaussian;5;285;9.1
gaussian;5;290;9.1
gaussian;5;295;9.1
gaussian;5;300;9.1
gaussian;5;305;9.1
gaussian;5;310;9.1
gaussian;5;315;9.1
gaussian;5;320;9.1
gaussian;5;325;9.1
gaussian;5;330;9.1
gaussian;5;335;9.1
gaussian;5;340;9.1
gaussian;5;345;9.1
gaussian;5;350;9.1
gaussian;5;355;9.1
gaussian;5;360;9.1
gaussian;5;365;9.1
gaussian;5;370;9.1
gaussian;5;375;9.1
gaussian;5;380;9.1
gaussian;5;385;9.1
gaussian;5;390;9.1
gaussian;5;395;9.1
gaussian;5;400;9.1
gaussian;10;5;-18.0
gaussian;10;10;-18.2
gaussian;10;15;-18.3
gaussian;10;20;-18.5
gaussian;10;25;-18.7
gaussian;10;30;-18.8
gaussian;10;35;-19.0
gaussian;10;40;-19.1
gaussian;10;45;-18.9
gaussian;10;50;-18.7
gaussian;10;55;-18.4
gaussian;10;60;-17.6
gaussian;10;65;-16.6
gaussian;10;70;-15.1
gaussian;10;75;-13.0
gaussian;10;80;-10.5
gaussian;10;85;-7.8
gaussian;10;90;-5.0
gaussian;10;95;-2.2
gaussian;10;100;0.0
gaussian;10;105;2.2
gaussian;10;110;4.0
gaussian;10;115;5.3
gaussian;10;120;6.3
gaussian;10;125;6.9
gaussian;10;130;7.3
gaussian;10;135;7.6
gaussian;10;140;7.7
gaussian;10;145;7.8
gaussian;10;150;7.8
gaussian;10;155;7.8
gaussian;10;160;7.8
gaussian;10;165;7.8
gaussian;10;170;7.8
gaussian;10;175;7.8
gaussian;10;180;7.8
gaussian;10;185;7.8
gaussian;10;190;7.8
gaussian;10;195;7.8
gaussian;10;200;7.8
gaussian;10;205;7.8
gaussian;10;210;7.8
gaussian;10;215;7.8
gaussian;10;220;7.8
gaussian;10;225;7.8
gaussian;10;230;7.8
gaussian;10;235;7.8
gaussian;10;240;7.8
gaussian;10;245;7.8
gaussian;10;250;7.8
gaussian;10;255;7.8
gaussian;10;260;7.8
gaussian;10;265;7.8
gaussian;10;270;7.8
gaussian;10;275;7.8
gaussian;10;280;7.8
gaussian;10;285;7.8
gaussian;10;290;7.8
gaussian;10;295;7.8
gaussian;10;300;7.8
gaussian;10;305;7.8
gaussian;10;310;7.8
gaussian;10;315;7.8
gaussian;10;320;7.8
gaussian;10;325;7.8
gaussian;10;330;7.8
gaussian;10;335;7.8
gaussian;10;340;7.8
gaussian;10;345;7.8
gaussian;10;350;7.8
gaussian;10;355;7.8
gaussian;10;360;7.8
gaussian;10;365;7.8
gaussian;10;370;7.8
gaussian;10;375;7.8
gaussian;10;380;7.8
gaussian;10;385;7.8
gaussian;10;390;7.8
gaussian;10;395;7.8
gaussian;10;400;7.8
gaussian;15;5;-19.4
gaussian;15;10;-19.6
gaussian;15;15;-19.8
gaussian;15;20;-19.9
gaussian;15;25;-20.1
gaussian;15;30;-20.2
gaussian;15;35;-20.3
gaussian;15;40;-20.2
gaussian;15;45;-20.0
gaussian;15;50;-19.6
gaussian;15;55;-18.9
gaussian;15;60;-17.9
gaussian;15;65;-16.4
gaussian;15;70;-14.3
gaussian;15;75;-11.8
gaussian;15;80;-9.1
gaussian;15;85;-6.3
gaussian;15;90;-3.4
gaussian;15;95;-1.2
gaussian;15;100;1.0
gaussian;15;105;2.7
gaussian;15;110;4.1
gaussian;15;115;5.0
gaussian;15;120;5.6
gaussian;15;125;6.1
gaussian;15;130;6.3
gaussian;15;135;6.5
gaussian;15;140;6.5
gaussian;15;145;6.6
gaussian;15;150;6.6
gaussian;15;155;6.6
gaussian;15;160;6.6
gaussian;15;165;6.6
gaussian;15;170;6.6
gaussian;15;175;6.6
gaussian;15;180;6.6
gaussian;15;185;6.6
gaussian;15;190;6.6
gaussian;15;195;6.6
gaussian;15;200;6.6
gaussian;15;205;6.6
gaussian;15;210;6.6
gaussian;15;215;6.6
gaussian;15;220;6.6
gaussian;15;225;6.6
gaussian;15;230;6.6
gaussian;15;235;6.6
gaussian;15;240;6.6
gaussian;15;245;6.6
gaussian;15;250;6.6
gaussian;15;255;6.6
gaussian;15;260;6.6
gaussian;15;265;6.6
gaussian;15;270;6.6
gaussian;15;275;6.6
gaussian;15;280;6.6
gaussian;15;285;6.6
gaussian;15;290;6.6
gaussian;15;295;6.6
gaussian;15;300;6.6
gaussian;15;305;6.6
gaussian;15;310;6.6
gaussian;15;315;6.6
gaussian;15;320;6.6
gaussian;15;325;6.6
gaussian;15;330;6.6
gaussian;15;335;6.6
gaussian;15;340;6.6
gaussian;15;345;6.6
gaussian;15;350;6.6
gaussian;15;355;6.6
gaussian;15;360;6.6
gaussian;15;365;6.6
gaussian;15;370;6.6
gaussian;15;375;6.6
gaussian;15;380;6.6
gaussian;15;385;6.6
gaussian;15;390;6.6
gaussian;15;395;6.6
gaussian;15;400;6.6
gaussian;20;5;-20.8
gaussian;20;10;-21.0
gaussian;20;15;-21.2
gaussian;20;20;-21.3
gaussian;20;25;-21.5
gaussian;20;30;-21.6
gaussian;20;35;-21.4
gaussian;20;40;-21.2
gaussian;20;45;-20.9
gaussian;20;50;-20.1
gaussian;20;55;-19.1
gaussian;20;60;-17.6
gaussian;20;65;-15.5
gaussian;20;70;-13.0
gaussian;20;75;-10.3
gaussian;20;80;-7.5
gaussian;20;85;-4.7
gaussian;20;90;-2.5
gaussian;20;95;-0.3
gaussian;20;100;1.5
gaussian;20;105;2.8
gaussian;20;110;3.8
gaussian;20;115;4.4
gaussian;20;120;4.8
gaussian;20;125;5.1
gaussian;20;130;5.2
gaussian;20;135;5.3
gaussian;20;140;5.3
gaussian;20;145;5.3
gaussian;20;150;5.3
gaussian;20;155;5.3
gaussian;20;160;5.3
gaussian;20;165;5.3
gaussian;20;170;5.3
gaussian;20;175;5.3
gaussian;20;180;5.3
gaussian;20;185;5.3
gaussian;20;190;5.3
gaussian;20;195;5.3
gaussian;20;200;5.3
gaussian;20;205;5.3
gaussian;20;210;5.3
gaussian;20;215;5.3
gaussian;20;220;5.3
gaussian;20;225;5.3
gaussian;20;230;5.3
gaussian;20;235;5.3
gaussian;20;240;5.3
gaussian;20;245;5.3
gaussian;20;250;5.3
gaussian;20;255;5.3
gaussian;20;260;5.3
gaussian;20;265;5.3
gaussian;20;270;5.3
gaussian;20;275;5.3
gaussian;20;280;5.3
gaussian;20;285;5.3
gaussian;20;290;5.3
gaussian;20;295;5.3
gaussian;20;300;5.3
gaussian;20;305;5.3
gaussian;20;310;5.3
gaussian;20;315;5.3
gaussian;20;320;5.3
gaussian;20;325;5.3
gaussian;20;330;5.3
gaussian;20;335;5.3
gaussian;20;340;5.3
gaussian;20;345;5.3
gaussian;20;350;5.3
gaussian;20;355;5.3
gaussian;20;360;5.3
gaussian;20;365;5.3
gaussian;20;370;5.3
gaussian;20;375;5.3
gaussian;20;380;5.3
gaussian;20;385;5.3
gaussian;20;390;5.3
gaussian;20;395;5.3
gaussian;20;400;5.3
gaussian;25;5;-22.3
gaussian;25;10;-22.4
gaussian;25;15;-22.6
gaussian;25;20;-22.7
gaussian;25;25;-22.8
gaussian;25;30;-22.7
gaussian;25;35;-22.5
gaussian;25;40;-22.1
gaussian;25;45;-21.4
gaussian;25;50;-20.4
gaussian;25;55;-18.8
gaussian;25;60;-16.8
gaussian;25;65;-14.3
gaussian;25;70;-11.6
gaussian;25;75;-8.8
gaussian;25;80;-5.9
gaussian;25;85;-3.7
gaussian;25;90;-1.5
gaussian;25;95;0.2
gaussian;25;100;1.6
gaussian;25;105;2.5
gaussian;25;110;3.1
gaussian;25;115;3.6
gaussian;25;120;3.8
gaussian;25;125;4.0
gaussian;25;130;4.0
gaussian;25;135;4.1
gaussian;25;140;4.1
gaussian;25;145;4.1
gaussian;25;150;4.1
gaussian;25;155;4.1
gaussian;25;160;4.1
gaussian;25;165;4.1
gaussian;25;170;4.1
gaussian;25;175;4.1
gaussian;25;180;4.1
gaussian;25;185;4.1
gaussian;25;190;4.1
gaussian;25;195;4.1
gaussian;25;200;4.1
gaussian;25;205;4.1
gaussian;25;210;4.1
gaussian;25;215;4.1
gaussian;25;220;4.1
gaussian;25;225;4.1
gaussian;25;230;4.1
gaussian;25;235;4.1
gaussian;25;240;4.1
gaussian;25;245;4.1
gaussian;25;250;4.1
gaussian;25;255;4.1
gaussian;25;260;4.1
gaussian;25;265;4.1
gaussian;25;270;4.1
gaussian;25;275;4.1
gaussian;25;280;4.1
gaussian;25;285;4.1
gaussian;25;290;4.1
gaussian;25;295;4.1
gaussian;25;300;4.1
gaussian;25;305;4.1
gaussian;25;310;4.1
gaussian;25;315;4.1
gaussian;25;320;4.1
gaussian;25;325;4.1
gaussian;25;330;4.1
gaussian;25;335;4.1
gaussian;25;340;4.1
gaussian;25;345;4.1
gaussian;25;350;4.1
gaussian;25;355;4.1
gaussian;25;360;4.1
gaussian;25;365;4.1
gaussian;25;370;4.1
gaussian;25;375;4.1
gaussian;25;380;4.1
gaussian;25;385;4.1
gaussian;25;390;4.1
gaussian;25;395;4.1
gaussian;25;400;4.1
gaussian;30;5;-23.7
gaussian;30;10;-23.8
gaussian;30;15;-24.0
gaussian;30;20;-24.0
gaussian;30;25;-23.9
gaussian;30;30;-23.7
gaussian;30;35;-23.4
gaussian;30;40;-22.6
gaussian;30;45;-21.6
gaussian;30;50;-20.1
gaussian;30;55;-18.0
gaussian;30;60;-15.5
gaussian;30;65;-12.8
gaussian;30;70;-10.0
gaussian;30;75;-7.2
gaussian;30;80;-4.9
gaussian;30;85;-2.8
gaussian;30;90;-1.0
gaussian;30;95;0.3
gaussian;30;100;1.3
gaussian;30;105;1.9
gaussian;30;110;2.3
gaussian;30;115;2.6
gaussian;30;120;2.7
gaussian;30;125;2.8
gaussian;30;130;2.8
gaussian;30;135;2.8
gaussian;30;140;2.8
gaussian;30;145;2.8
gaussian;30;150;2.8
gaussian;30;155;2.8
gaussian;30;160;2.8
gaussian;30;165;2.8
gaussian;30;170;2.8
gaussian;30;175;2.8
gaussian;30;180;2.8
gaussian;30;185;2.8
gaussian;30;190;2.8
gaussian;30;195;2.8
gaussian;30;200;2.8
gaussian;30;205;2.8
gaussian;30;210;2.8
gaussian;30;215;2.8
gaussian;30;220;2.8
gaussian;30;225;2.8
gaussian;30;230;2.8
gaussian;30;235;2.8
gaussian;30;240;2.8
gaussian;30;245;2.8
gaussian;30;250;2.8
gaussian;30;255;2.8
gaussian;30;260;2.8
gaussian;30;265;2.8
gaussian;30;270;2.8
gaussian;30;275;2.8
gaussian;30;280;2.8
gaussian;30;285;2.8
gaussian;30;290;2.8
gaussian;30;295;2.8
gaussian;30;300;2.8
gaussian;30;305;2.8
gaussian;30;310;2.8
gaussian;30;315;2.8
gaussian;30;320;2.8
gaussian;30;325;2.8
gaussian;30;330;2.8
gaussian;30;335;2.8
gaussian;30;340;2.8
gaussian;30;345;2.8
gaussian;30;350;2.8
gaussian;30;355;2.8
gaussian;30;360;2.8
gaussian;30;365;2.8
gaussian;30;370;2.8
gaussian;30;375;2.8
gaussian;30;380;2.8
gaussian;30;385;2.8
gaussian;30;390;2.8
gaussian;30;395;2.8
gaussian;30;400;2.8
gaussian;35;5;-25.1
gaussian;35;10;-25.2
gaussian;35;15;-25.3
gaussian;35;20;-25.2
gaussian;35;25;-25.0
gaussian;35;30;-24.6
gaussian;35;35;-23.8
gaussian;35;40;-22.9
gaussian;35;45;-21.3
gaussian;35;50;-19.3
gaussian;35;55;-16.8
gaussian;35;60;-14.0
gaussian;35;65;-11.3
gaussian;35;70;-8.4
gaussian;35;75;-6.2
gaussian;35;80;-4.0
gaussian;35;85;-2.3
gaussian;35;90;-0.9
gaussian;35;95;0.0
gaussian;35;100;0.6
gaussian;35;105;1.1
gaussian;35;110;1.4
gaussian;35;115;1.5
gaussian;35;120;1.5
gaussian;35;125;1.6
gaussian;35;130;1.6
gaussian;35;135;1.6
