Parameters => idle_timeout: [5, 400]; sleep_timeout: [5; 400]; step: 5
distribution;timeoutIdle;timeoutSleep;energySaved
trimodal;5;5;-16.4
trimodal;5;10;-16.6
trimodal;5;15;-16.7
trimodal;5;20;-16.8
trimodal;5;25;-16.8
trimodal;5;30;-16.5
trimodal;5;35;-15.5
trimodal;5;40;-14.1
trimodal;5;45;-12.2
trimodal;5;50;-10.7
trimodal;5;55;-9.6
trimodal;5;60;-9.0
trimodal;5;65;-8.9
trimodal;5;70;-8.8
trimodal;5;75;-8.6
trimodal;5;80;-8.1
trimodal;5;85;-7.1
trimodal;5;90;-5.7
trimodal;5;95;-3.7
trimodal;5;100;-2.1
trimodal;5;105;-1.1
trimodal;5;110;-0.5
trimodal;5;115;-0.3
trimodal;5;120;-0.1
trimodal;5;125;0.2
trimodal;5;130;0.7
trimodal;5;135;1.6
trimodal;5;140;3.1
trimodal;5;145;5.0
trimodal;5;150;6.6
trimodal;5;155;7.9
trimodal;5;160;8.5
trimodal;5;165;8.8
trimodal;5;170;8.9
trimodal;5;175;9.0
trimodal;5;180;9.0
trimodal;5;185;9.0
trimodal;5;190;9.0
trimodal;5;195;9.0
trimodal;5;200;9.0
trimodal;5;205;9.0
trimodal;5;210;9.0
trimodal;5;215;9.0
trimodal;5;220;9.0
trimodal;5;225;9.0
trimodal;5;230;9.0
trimodal;5;235;9.0
trimodal;5;240;9.0
trimodal;5;245;9.0
trimodal;5;250;9.0
trimodal;5;255;9.0
trimodal;5;260;9.0
trimodal;5;265;9.0
trimodal;5;270;9.0
trimodal;5;275;9.0
trimodal;5;280;9.0
trimodal;5;285;9.0
trimodal;5;290;9.0
trimodal;5;295;9.0
trimodal;5;300;9.0
trimodal;5;305;9.0
trimodal;5;310;9.0
trimodal;5;315;9.0
trimodal;5;320;9.0
trimodal;5;325;9.0
trimodal;5;330;9.0
trimodal;5;335;9.0
trimodal;5;340;9.0
trimodal;5;345;9.0
trimodal;5;350;9.0
trimodal;5;355;9.0
trimodal;5;360;9.0
trimodal;5;365;9.0
trimodal;5;370;9.0
trimodal;5;375;9.0
trimodal;5;380;9.0
trimodal;5;385;9.0
trimodal;5;390;9.0
trimodal;5;395;9.0
trimodal;5;400;9.0
trimodal;10;5;-17.8
trimodal;10;10;-17.9
trimodal;10;15;-18.1
trimodal;10;20;-18.0
trimodal;10;25;-17.7
trimodal;10;30;-16.8
trimodal;10;35;-15.4
trimodal;10;40;-13.4
trimodal;10;45;-11.9
trimodal;10;50;-10.8
trimodal;10;55;-10.2
trimodal;10;60;-10.1
trimodal;10;65;-10.0
trimodal;10;70;-9.9
trimodal;10;75;-9.3
trimodal;10;80;-8.3
trimodal;10;85;-6.9
trimodal;10;90;-4.9
trimodal;10;95;-3.4
trimodal;10;100;-2.3
trimodal;10;105;-1.7
trimodal;10;110;-1.5
trimodal;10;115;-1.4
trimodal;10;120;-1.1
trimodal;10;125;-0.6
trimodal;10;130;0.3
trimodal;10;135;1.8
trimodal;10;140;3.8
trimodal;10;145;5.4
trimodal;10;150;6.6
trimodal;10;155;7.3
trimodal;10;160;7.6
trimodal;10;165;7.7
trimodal;10;170;7.7
trimodal;10;175;7.7
trimodal;10;180;7.7
trimodal;10;185;7.7
trimodal;10;190;7.7
trimodal;10;195;7.7
trimodal;10;200;7.7
trimodal;10;205;7.7
trimodal;10;210;7.7
trimodal;10;215;7.7
trimodal;10;220;7.7
trimodal;10;225;7.7
trimodal;10;230;7.7
trimodal;10;235;7.7
trimodal;10;240;7.7
trimodal;10;245;7.7
trimodal;10;250;7.7
trimodal;10;255;7.7
trimodal;10;260;7.7
trimodal;10;265;7.7
trimodal;10;270;7.7
trimodal;10;275;7.7
trimodal;10;280;7.7
trimodal;10;285;7.7
trimodal;10;290;7.7
trimodal;10;295;7.7
trimodal;10;300;7.7
trimodal;10;305;7.7
trimodal;10;310;7.7
trimodal;10;315;7.7
trimodal;10;320;7.7
trimodal;10;325;7.7
trimodal;10;330;7.7
trimodal;10;335;7.7
trimodal;10;340;7.7
trimodal;10;345;7.7
trimodal;10;350;7.7
trimodal;10;355;7.7
trimodal;10;360;7.7
trimodal;10;365;7.7
trimodal;10;370;7.7
trimodal;10;375;7.7
trimodal;10;380;7.7
trimodal;10;385;7.7
trimodal;10;390;7.7
trimodal;10;395;7.7
trimodal;10;400;7.7
trimodal;15;5;-19.2
trimodal;15;10;-19.3
trimodal;15;15;-19.3
trimodal;15;20;-18.9
trimodal;15;25;-18.0
trimodal;15;30;-16.6
trimodal;15;35;-14.7
trimodal;15;40;-13.2
trimodal;15;45;-12.1
trimodal;15;50;-11.5
trimodal;15;55;-11.3
trimodal;15;60;-11.3
trimodal;15;65;-11.1
trimodal;15;70;-10.6
trimodal;15;75;-9.5
trimodal;15;80;-8.1
trimodal;15;85;-6.2
trimodal;15;90;-4.6
trimodal;15;95;-3.6
trimodal;15;100;-3.0
trimodal;15;105;-2.8
trimodal;15;110;-2.6
trimodal;15;115;-2.3
trimodal;15;120;-1.8
trimodal;15;125;-0.9
trimodal;15;130;0.6
trimodal;15;135;2.6
trimodal;15;140;4.1
trimodal;15;145;5.4
trimodal;15;150;6.0
trimodal;15;155;6.3
trimodal;15;160;6.5
trimodal;15;165;6.5
trimodal;15;170;6.5
trimodal;15;175;6.5
trimodal;15;180;6.5
trimodal;15;185;6.5
trimodal;15;190;6.5
trimodal;15;195;6.5
trimodal;15;200;6.5
trimodal;15;205;6.5
trimodal;15;210;6.5
trimodal;15;215;6.5
trimodal;15;220;6.5
trimodal;15;225;6.5
trimodal;15;230;6.5
trimodal;15;235;6.5
trimodal;15;240;6.5
trimodal;15;245;6.5
trimodal;15;250;6.5
trimodal;15;255;6.5
trimodal;15;260;6.5
trimodal;15;265;6.5
trimodal;15;270;6.5
trimodal;15;275;6.5
trimodal;15;280;6.5
trimodal;15;285;6.5
trimodal;15;290;6.5
trimodal;15;295;6.5
trimodal;15;300;6.5
trimodal;15;305;6.5
trimodal;15;310;6.5
trimodal;15;315;6.5
trimodal;15;320;6.5
trimodal;15;325;6.5
trimodal;15;330;6.5
trimodal;15;335;6.5
trimodal;15;340;6.5
trimodal;15;345;6.5
trimodal;15;350;6.5
trimodal;15;355;6.5
trimodal;15;360;6.5
trimodal;15;365;6.5
trimodal;15;370;6.5
trimodal;15;375;6.5
trimodal;15;380;6.5
trimodal;15;385;6.5
trimodal;15;390;6.5
trimodal;15;395;6.5
trimodal;15;400;6.5
trimodal;20;5;-20.5
trimodal;20;10;-20.5
trimodal;20;15;-20.1
trimodal;20;20;-19.2
