Parameters => idle_timeout: [5, 400]; step: 5
distribution;timeoutIdle;energySaved
uniform_1_400;5;27.1
uniform_1_400;10;26.3
uniform_1_400;15;25.5
uniform_1_400;20;24.7
uniform_1_400;25;23.9
uniform_1_400;30;23.1
uniform_1_400;35;22.4
uniform_1_400;40;21.6
uniform_1_400;45;20.9
uniform_1_400;50;20.1
uniform_1_400;55;19.4
uniform_1_400;60;18.7
uniform_1_400;65;18.1
uniform_1_400;70;17.4
uniform_1_400;75;16.7
uniform_1_400;80;16.1
uniform_1_400;85;15.4
uniform_1_400;90;14.8
uniform_1_400;95;14.2
uniform_1_400;100;13.6
uniform_1_400;105;13.0
uniform_1_400;110;12.4
uniform_1_400;115;11.8
uniform_1_400;120;11.3
uniform_1_400;125;10.7
uniform_1_400;130;10.2
uniform_1_400;135;9.7
uniform_1_400;140;9.2
uniform_1_400;145;8.7
uniform_1_400;150;8.3
uniform_1_400;155;7.8
uniform_1_400;160;7.4
uniform_1_400;165;7.0
uniform_1_400;170;6.5
uniform_1_400;175;6.2
uniform_1_400;180;5.8
uniform_1_400;185;5.4
uniform_1_400;190;5.0
uniform_1_400;195;4.6
uniform_1_400;200;4.2
uniform_1_400;205;3.9
uniform_1_400;210;3.5
uniform_1_400;215;3.2
uniform_1_400;220;2.9
uniform_1_400;225;2.6
uniform_1_400;230;2.3
uniform_1_400;235;2.1
uniform_1_400;240;1.8
uniform_1_400;245;1.6
uniform_1_400;250;1.3
uniform_1_400;255;1.1
uniform_1_400;260;0.8
uniform_1_400;265;0.7
uniform_1_400;270;0.5
uniform_1_400;275;0.3
uniform_1_400;280;0.2
uniform_1_400;285;0.0
uniform_1_400;290;-0.1
uniform_1_400;295;-0.2
uniform_1_400;300;-0.3
uniform_1_400;305;-0.4
uniform_1_400;310;-0.5
uniform_1_400;315;-0.6
uniform_1_400;320;-0.7
uniform_1_400;325;-0.7
uniform_1_400;330;-0.8
uniform_1_400;335;-0.8
uniform_1_400;340;-0.8
uniform_1_400;345;-0.8
uniform_1_400;350;-0.8
uniform_1_400;355;-0.8
uniform_1_400;360;-0.7
uniform_1_400;365;-0.7
uniform_1_400;370;-0.6
uniform_1_400;375;-0.5
uniform_1_400;380;-0.4
uniform_1_400;385;-0.3
uniform_1_400;390;-0.2
uniform_1_400;395;-0.1
uniform_1_400;400;0.0
